repo_name,file_path,stars
golang/go,src/hash/test_gen.awk,4620
amznlabs/amazon-dsstne,samples/movielens/convert_ratings.awk,2844
google/protobuf,java/kotlin-lite/lite.awk,2816
google/protobuf,java/lite/lite.awk,2816
grpc/grpc,src/php/bin/php_extension_doxygen_filter.awk,1334
cockroachdb/cockroach,pkg/sql/parser/all_keywords.awk,1176
cockroachdb/cockroach,pkg/sql/parser/reserved_keywords.awk,1176
cockroachdb/cockroach,pkg/sql/parser/unreserved_keywords.awk,1176
TheMozg/awk-raycaster,awkaster.awk,1167
scala/scala,scripts/readproperties.awk,1036
danielmiessler/SecLists,.bin/etc-files-list-update/util/find-new-urls.awk,863
paralect/robomongo,src/third-party/libssh2-1.7.0/sources/get_ver.awk,760
paralect/robomongo,src/third-party/libssh2-1.9.0/sources/get_ver.awk,760
apache/arrow,cpp/build-support/iwyu/iwyu-filter.awk,601
apcera/libretto,vendor/cloud.google.com/go/internal/readme/snipmd.awk,532
openshift/origin,hack/lib/compress.awk,492
openshift/origin,test/extended/testdata/cmd/hack/lib/compress.awk,492
arangodb/arangodb,3rdParty/tzdata/checklinks.awk,490
arangodb/arangodb,3rdParty/tzdata/checktab.awk,490
arangodb/arangodb,3rdParty/tzdata/leapseconds.awk,490
arangodb/arangodb,3rdParty/tzdata/ziguard.awk,490
arangodb/arangodb,3rdParty/tzdata/zishrink.awk,490
ilyash/ngs,build-scripts/patch-leg-output.awk,479
systemd/systemd,src/basic/af-to-name.awk,429
systemd/systemd,src/basic/arphrd-to-name.awk,429
systemd/systemd,src/basic/cap-to-name.awk,429
systemd/systemd,src/basic/errno-to-name.awk,429
systemd/systemd,src/core/load-fragment-gperf-nulstr.awk,429
systemd/systemd,src/libsystemd/sd-journal/audit_type-to-name.awk,429
systemd/systemd,src/resolve/dns_type-to-name.awk,429
systemd/systemd,src/shared/ip-protocol-to-name.awk,429
systemd/systemd,src/test/test-hashmap-ordered.awk,429
nodegit/nodegit,vendor/libssh2/get_ver.awk,427
github/linguist,samples/Awk/test.awk,396
jlord/git-it-electron,assets/PortableGit/usr/share/vim/vim74/tools/mve.awk,344
fail0verflow/ps4-linux,Documentation/arm/Samsung/clksrc-change-registers.awk,340
